REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060375,15.0,425.0,60.0,14.0,60.0,265.0,60.0,10.0,0.0,400.0,0.0,400.0
2021S051248060377,15.0,335.0,65.0,25.7,50.0,195.0,55.0,10.0,0.0,310.0,5.0,310.0
2021S051248060378,15.0,550.0,185.0,13.5,170.0,315.0,170.0,15.0,15.0,590.0,20.0,595.0
2021S051248060379,35.0,650.0,380.0,11.1,105.0,460.0,105.0,30.0,10.0,710.0,40.0,710.0
2021S051248060380,20.0,455.0,240.0,13.6,60.0,280.0,60.0,30.0,10.0,435.0,45.0,435.0
2021S051248060381,30.0,575.0,340.0,20.9,130.0,285.0,130.0,25.0,10.0,520.0,45.0,520.0
2021S051248060382,15.0,320.0,145.0,5.1,75.0,230.0,75.0,10.0,0.0,350.0,10.0,350.0
2021S051248060383,15.0,405.0,135.0,16.2,35.0,240.0,40.0,15.0,5.0,350.0,20.0,350.0
2021S051248060384,25.0,520.0,180.0,8.6,90.0,325.0,90.0,30.0,15.0,505.0,10.0,510.0
2021S051248060385,75.0,615.0,320.0,18.8,60.0,365.0,60.0,60.0,5.0,630.0,15.0,630.0
2021S051248060386,15.0,260.0,40.0,14.8,65.0,145.0,60.0,10.0,0.0,260.0,0.0,260.0
2021S051248060387,30.0,595.0,90.0,17.6,130.0,345.0,135.0,20.0,10.0,590.0,10.0,585.0
2021S051248060388,15.0,440.0,105.0,6.8,65.0,265.0,65.0,20.0,10.0,390.0,5.0,390.0
2021S051248060389,35.0,310.0,130.0,9.7,25.0,235.0,25.0,45.0,5.0,380.0,10.0,380.0
2021S051248060390,10.0,290.0,40.0,9.8,55.0,185.0,55.0,5.0,0.0,290.0,10.0,290.0
2021S051248060391,15.0,375.0,115.0,31.3,60.0,220.0,60.0,10.0,0.0,340.0,10.0,340.0
2021S051248060392,55.0,835.0,405.0,24.3,50.0,480.0,50.0,105.0,15.0,760.0,45.0,760.0
2021S051248060393,25.0,635.0,155.0,8.6,150.0,405.0,150.0,45.0,15.0,660.0,20.0,660.0
2021S051248060394,20.0,355.0,180.0,17.6,70.0,150.0,70.0,15.0,10.0,270.0,10.0,265.0
2021S051248060395,40.0,770.0,255.0,16.5,295.0,475.0,190.0,50.0,25.0,795.0,35.0,900.0
2021S051248060396,20.0,250.0,110.0,17.4,20.0,185.0,20.0,35.0,5.0,265.0,10.0,265.0
2021S051248060397,10.0,215.0,65.0,16.7,170.0,95.0,170.0,10.0,65.0,275.0,15.0,275.0
2021S051248060398,25.0,570.0,85.0,5.0,120.0,340.0,120.0,15.0,10.0,550.0,5.0,545.0
2021S051248060399,45.0,710.0,170.0,13.0,160.0,400.0,160.0,40.0,10.0,685.0,25.0,690.0
2021S051248060400,25.0,650.0,365.0,28.8,40.0,415.0,40.0,70.0,15.0,580.0,25.0,580.0
2021S051248060401,30.0,455.0,320.0,14.6,60.0,245.0,60.0,35.0,10.0,395.0,45.0,395.0
2021S051248060402,60.0,680.0,465.0,16.1,65.0,485.0,65.0,115.0,15.0,740.0,30.0,735.0
2021S051248060403,50.0,545.0,210.0,14.9,60.0,300.0,60.0,40.0,5.0,520.0,20.0,520.0
2021S051248060404,10.0,325.0,100.0,6.5,75.0,170.0,75.0,15.0,5.0,295.0,15.0,295.0
2021S051248060405,35.0,535.0,195.0,24.2,95.0,385.0,95.0,55.0,10.0,600.0,25.0,600.0
2021S051248060406,20.0,360.0,80.0,10.0,80.0,245.0,80.0,15.0,5.0,395.0,15.0,395.0
2021S051248060407,5.0,450.0,150.0,17.4,60.0,260.0,60.0,35.0,10.0,380.0,10.0,375.0
2021S051248060408,20.0,490.0,30.0,10.9,105.0,280.0,105.0,10.0,10.0,460.0,0.0,455.0
2021S051248060409,30.0,375.0,25.0,23.1,65.0,215.0,65.0,5.0,5.0,360.0,5.0,360.0
2021S051248060410,30.0,600.0,80.0,7.6,105.0,370.0,105.0,35.0,15.0,590.0,0.0,590.0
2021S051248060411,25.0,525.0,90.0,16.4,90.0,315.0,85.0,30.0,10.0,510.0,0.0,515.0
2021S051248060412,65.0,795.0,260.0,9.0,90.0,510.0,90.0,50.0,10.0,780.0,5.0,785.0
2021S051248060413,30.0,525.0,60.0,22.0,70.0,365.0,70.0,35.0,5.0,530.0,5.0,535.0
2021S051248060414,25.0,780.0,205.0,11.0,140.0,465.0,140.0,40.0,0.0,765.0,10.0,765.0
2021S051248060415,35.0,530.0,45.0,5.0,155.0,345.0,155.0,15.0,10.0,610.0,0.0,610.0
2021S051248060416,45.0,660.0,160.0,10.0,155.0,305.0,155.0,20.0,40.0,630.0,0.0,630.0
2021S051248060417,35.0,680.0,30.0,3.8,100.0,400.0,100.0,30.0,10.0,625.0,0.0,630.0
2021S051248060418,30.0,460.0,40.0,10.9,75.0,310.0,75.0,25.0,5.0,475.0,0.0,480.0
2021S051248060419,30.0,505.0,65.0,8.5,85.0,345.0,85.0,30.0,5.0,530.0,0.0,535.0
2021S051248060420,25.0,585.0,70.0,16.9,95.0,375.0,95.0,25.0,10.0,570.0,10.0,565.0
2021S051248060421,15.0,410.0,80.0,21.7,100.0,220.0,95.0,25.0,5.0,380.0,0.0,380.0
2021S051248060422,20.0,420.0,70.0,17.0,55.0,275.0,55.0,20.0,5.0,410.0,0.0,415.0
2021S051248060423,25.0,430.0,85.0,16.7,80.0,330.0,80.0,40.0,5.0,515.0,0.0,510.0
2021S051248060424,15.0,380.0,50.0,0.0,90.0,225.0,90.0,20.0,0.0,410.0,0.0,410.0
