REF_AREA,Total_age_0_4,Visible_Minority_Total,Visible_Minority,Unemployment_rate,Total_age_65_older,Total_LIM_18_64,Total_LIM_65_over,LIM_18_64,LIM_65_over,Language_Total,Language_NO_Eng_Fr,Total_age
2021S051248060605,0.0,260.0,85.0,14.3,125.0,,,,,240.0,50.0,235.0
2021S051248060606,40.0,2465.0,1060.0,11.3,100.0,2220.0,95.0,375.0,40.0,2430.0,15.0,2485.0
2021S051248060607,30.0,1915.0,795.0,9.3,205.0,1550.0,205.0,110.0,115.0,1810.0,55.0,1865.0
2021S051248060610,20.0,455.0,65.0,20.3,45.0,405.0,25.0,50.0,5.0,460.0,0.0,535.0
2021S051248060611,10.0,645.0,115.0,12.1,165.0,500.0,120.0,40.0,15.0,700.0,5.0,700.0
2021S051248060612,25.0,920.0,280.0,10.6,130.0,705.0,130.0,100.0,10.0,885.0,10.0,880.0
2021S051248060613,10.0,550.0,85.0,11.9,220.0,350.0,220.0,35.0,20.0,610.0,5.0,610.0
2021S051248060614,20.0,405.0,35.0,6.3,80.0,240.0,80.0,20.0,5.0,420.0,0.0,415.0
2021S051248060615,10.0,560.0,55.0,6.8,165.0,300.0,170.0,40.0,5.0,530.0,0.0,530.0
2021S051248060616,35.0,495.0,55.0,20.0,100.0,310.0,100.0,15.0,0.0,535.0,0.0,535.0
2021S051248060617,20.0,370.0,25.0,7.0,70.0,235.0,70.0,10.0,0.0,410.0,0.0,415.0
2021S051248060618,20.0,455.0,95.0,15.2,95.0,250.0,95.0,15.0,5.0,460.0,0.0,455.0
2021S051248060619,20.0,580.0,75.0,16.9,110.0,335.0,110.0,15.0,5.0,535.0,0.0,535.0
2021S051248060620,40.0,460.0,15.0,7.0,105.0,275.0,105.0,25.0,10.0,530.0,0.0,530.0
2021S051248060621,25.0,585.0,0.0,6.5,55.0,375.0,55.0,15.0,0.0,610.0,0.0,615.0
2021S051248060623,15.0,585.0,90.0,16.1,45.0,505.0,45.0,45.0,10.0,580.0,0.0,580.0
2021S051248060624,10.0,455.0,50.0,28.8,40.0,415.0,40.0,75.0,15.0,470.0,5.0,475.0
2021S051248060627,15.0,645.0,105.0,8.7,75.0,510.0,75.0,45.0,5.0,645.0,5.0,645.0
2021S051248060628,60.0,1365.0,340.0,11.6,215.0,960.0,210.0,80.0,15.0,1340.0,10.0,1340.0
2021S051248060629,55.0,850.0,110.0,9.8,125.0,540.0,125.0,40.0,10.0,825.0,0.0,825.0
2021S051248060630,20.0,445.0,50.0,14.7,35.0,395.0,35.0,40.0,10.0,505.0,5.0,510.0
2021S051248060631,40.0,480.0,90.0,12.3,65.0,365.0,65.0,40.0,10.0,505.0,0.0,505.0
2021S051248060632,50.0,660.0,165.0,15.2,65.0,435.0,65.0,60.0,15.0,640.0,0.0,635.0
2021S051248060633,35.0,585.0,50.0,10.1,70.0,415.0,70.0,35.0,20.0,565.0,0.0,565.0
2021S051248060636,15.0,270.0,60.0,0.0,260.0,85.0,225.0,50.0,165.0,455.0,15.0,455.0
2021S051248060637,65.0,1875.0,780.0,6.2,180.0,1650.0,180.0,190.0,40.0,1950.0,35.0,1950.0
2021S051248060638,10.0,415.0,260.0,15.2,190.0,230.0,125.0,75.0,90.0,375.0,20.0,975.0
2021S051248060639,25.0,610.0,380.0,9.8,225.0,320.0,225.0,65.0,150.0,590.0,95.0,590.0
2021S051248060640,25.0,1135.0,770.0,14.7,330.0,795.0,325.0,200.0,220.0,1180.0,245.0,1230.0
2021S051248060643,55.0,2350.0,965.0,7.7,580.0,1560.0,580.0,175.0,105.0,2275.0,90.0,2275.0
2021S051248060644,20.0,300.0,215.0,0.0,20.0,325.0,15.0,80.0,5.0,380.0,10.0,375.0
2021S051248060645,40.0,920.0,510.0,8.6,40.0,905.0,40.0,205.0,5.0,1025.0,20.0,1030.0
2021S051248060646,10.0,235.0,95.0,18.2,25.0,215.0,25.0,45.0,5.0,250.0,0.0,250.0
2021S051248060647,25.0,1360.0,380.0,11.5,50.0,1370.0,45.0,160.0,10.0,1480.0,15.0,1480.0
2021S051248060648,10.0,345.0,115.0,12.2,25.0,310.0,25.0,60.0,5.0,350.0,0.0,350.0
2021S051248060649,25.0,660.0,265.0,12.8,100.0,480.0,95.0,80.0,20.0,640.0,10.0,640.0
2021S051248060650,10.0,705.0,135.0,14.6,230.0,480.0,230.0,45.0,90.0,730.0,20.0,730.0
2021S051248060651,10.0,680.0,165.0,5.6,115.0,540.0,120.0,55.0,50.0,680.0,15.0,685.0
2021S051248060652,80.0,3025.0,1320.0,12.3,145.0,2785.0,145.0,340.0,35.0,3110.0,55.0,3105.0
2021S051248060654,45.0,650.0,535.0,17.8,30.0,535.0,30.0,110.0,10.0,685.0,20.0,685.0
2021S051248060655,35.0,740.0,485.0,17.6,20.0,560.0,20.0,130.0,5.0,665.0,15.0,665.0
2021S051248060656,25.0,515.0,215.0,26.6,55.0,395.0,55.0,130.0,20.0,485.0,15.0,485.0
2021S051248060660,80.0,1140.0,790.0,18.0,45.0,795.0,45.0,145.0,15.0,980.0,45.0,975.0
2021S051248060661,65.0,1290.0,590.0,14.3,370.0,925.0,240.0,135.0,30.0,1350.0,30.0,1460.0
2021S051248060662,35.0,835.0,300.0,11.8,25.0,805.0,25.0,135.0,5.0,900.0,10.0,905.0
2021S051248060663,20.0,415.0,155.0,11.9,20.0,445.0,15.0,70.0,10.0,495.0,10.0,495.0
2021S051248060664,15.0,520.0,150.0,9.3,20.0,435.0,20.0,55.0,5.0,505.0,5.0,505.0
2021S051248060665,20.0,515.0,90.0,14.1,40.0,455.0,40.0,50.0,10.0,540.0,0.0,535.0
2021S051248060666,15.0,430.0,90.0,17.6,25.0,435.0,25.0,95.0,5.0,520.0,10.0,515.0
2021S051248060667,25.0,550.0,65.0,15.9,75.0,330.0,75.0,30.0,5.0,515.0,0.0,520.0
2021S051248060668,25.0,460.0,120.0,12.2,10.0,425.0,10.0,65.0,5.0,490.0,10.0,490.0
2021S051248060669,5.0,380.0,95.0,17.5,30.0,350.0,30.0,65.0,10.0,410.0,0.0,415.0
2021S051248060670,15.0,620.0,165.0,13.8,55.0,530.0,55.0,65.0,10.0,635.0,0.0,640.0
2021S051248060671,20.0,490.0,135.0,9.0,50.0,380.0,50.0,50.0,10.0,485.0,10.0,485.0
2021S051248060672,50.0,595.0,95.0,7.3,75.0,415.0,75.0,20.0,10.0,600.0,5.0,600.0
2021S051248060673,40.0,575.0,145.0,5.6,75.0,420.0,75.0,40.0,5.0,620.0,5.0,620.0
2021S051248060677,50.0,670.0,180.0,7.6,65.0,490.0,65.0,50.0,10.0,670.0,0.0,670.0
2021S051248060678,65.0,800.0,255.0,6.4,100.0,570.0,100.0,45.0,45.0,815.0,20.0,810.0
2021S051248060679,50.0,615.0,100.0,7.8,55.0,455.0,55.0,45.0,5.0,630.0,10.0,630.0
2021S051248060680,50.0,655.0,230.0,12.0,45.0,455.0,50.0,50.0,5.0,610.0,5.0,605.0
2021S051248060681,25.0,435.0,40.0,4.2,55.0,280.0,55.0,20.0,0.0,425.0,5.0,430.0
2021S051248060682,30.0,380.0,15.0,5.4,75.0,235.0,75.0,15.0,5.0,390.0,0.0,390.0
2021S051248060683,15.0,435.0,160.0,3.2,55.0,320.0,55.0,45.0,10.0,455.0,10.0,455.0
2021S051248060684,25.0,395.0,85.0,10.6,50.0,305.0,50.0,15.0,5.0,445.0,5.0,445.0
2021S051248060685,40.0,390.0,85.0,17.6,55.0,320.0,55.0,40.0,10.0,470.0,10.0,475.0
2021S051248060686,30.0,520.0,245.0,10.3,20.0,355.0,20.0,50.0,0.0,500.0,15.0,515.0
2021S051248060687,35.0,580.0,255.0,11.0,50.0,400.0,50.0,25.0,5.0,550.0,10.0,555.0
2021S051248060688,35.0,515.0,85.0,6.5,60.0,395.0,60.0,35.0,10.0,575.0,0.0,575.0
2021S051248060689,50.0,595.0,130.0,14.5,50.0,400.0,50.0,45.0,5.0,575.0,5.0,575.0
2021S051248060693,20.0,400.0,80.0,7.7,75.0,290.0,75.0,10.0,15.0,450.0,5.0,455.0
2021S051248060694,40.0,470.0,120.0,12.7,85.0,365.0,75.0,50.0,10.0,555.0,25.0,605.0
2021S051248060695,35.0,595.0,165.0,6.9,90.0,390.0,85.0,45.0,5.0,570.0,10.0,575.0
2021S051248060696,35.0,590.0,160.0,18.2,160.0,405.0,130.0,135.0,25.0,720.0,15.0,725.0
2021S051248060697,10.0,505.0,110.0,9.8,120.0,250.0,120.0,15.0,30.0,430.0,10.0,430.0
2021S051248060698,30.0,720.0,180.0,16.8,105.0,500.0,100.0,40.0,10.0,695.0,5.0,695.0
2021S051248060699,30.0,675.0,275.0,4.8,35.0,385.0,35.0,45.0,10.0,540.0,10.0,545.0
2021S051248060700,55.0,855.0,360.0,10.8,75.0,560.0,75.0,70.0,10.0,920.0,10.0,915.0
2021S051248060701,35.0,525.0,245.0,12.1,50.0,340.0,50.0,15.0,5.0,505.0,5.0,500.0
2021S051248060702,40.0,715.0,205.0,11.7,80.0,470.0,80.0,40.0,10.0,665.0,5.0,665.0
2021S051248060703,15.0,415.0,100.0,5.9,70.0,220.0,70.0,15.0,10.0,355.0,0.0,360.0
2021S051248060704,25.0,545.0,40.0,8.2,120.0,300.0,120.0,15.0,15.0,510.0,5.0,515.0
2021S051248060705,35.0,575.0,95.0,12.7,75.0,390.0,75.0,25.0,5.0,590.0,0.0,585.0
2021S051248060707,10.0,235.0,45.0,21.1,335.0,,,,,395.0,0.0,440.0
2021S051248060708,25.0,635.0,70.0,9.4,105.0,385.0,105.0,20.0,5.0,615.0,5.0,615.0
2021S051248060710,25.0,560.0,55.0,14.1,100.0,340.0,100.0,20.0,5.0,560.0,15.0,555.0
2021S051248060711,60.0,1575.0,610.0,10.3,340.0,1015.0,340.0,75.0,25.0,1650.0,40.0,1650.0
2021S051248060712,20.0,655.0,320.0,5.4,130.0,395.0,130.0,25.0,5.0,635.0,15.0,635.0
2021S051248060716,35.0,935.0,385.0,15.7,200.0,545.0,205.0,15.0,10.0,910.0,20.0,910.0
2021S051248060717,20.0,665.0,155.0,22.4,180.0,380.0,180.0,15.0,10.0,700.0,10.0,695.0
2021S051248060719,40.0,1300.0,455.0,16.7,315.0,735.0,320.0,40.0,30.0,1255.0,20.0,1255.0
2021S051248060727,35.0,640.0,80.0,8.8,155.0,395.0,155.0,30.0,5.0,705.0,0.0,705.0
2021S051248060728,20.0,520.0,15.0,12.0,100.0,275.0,105.0,15.0,10.0,510.0,0.0,505.0
2021S051248060730,25.0,420.0,15.0,6.0,80.0,235.0,80.0,15.0,5.0,405.0,0.0,405.0
2021S051248060731,20.0,340.0,15.0,16.7,70.0,165.0,70.0,5.0,0.0,305.0,0.0,305.0
2021S051248060732,20.0,460.0,65.0,9.6,85.0,250.0,85.0,20.0,0.0,415.0,10.0,415.0
2021S051248060733,75.0,1325.0,300.0,14.9,190.0,820.0,190.0,90.0,10.0,1275.0,5.0,1280.0
2021S051248060734,30.0,685.0,50.0,7.7,140.0,390.0,135.0,50.0,15.0,665.0,0.0,660.0
2021S051248060735,10.0,265.0,25.0,8.3,55.0,160.0,55.0,10.0,0.0,265.0,0.0,270.0
2021S051248060736,30.0,575.0,25.0,18.0,115.0,290.0,115.0,10.0,0.0,590.0,0.0,590.0
2021S051248060737,25.0,535.0,30.0,8.9,110.0,285.0,110.0,15.0,5.0,525.0,0.0,525.0
2021S051248060738,30.0,520.0,30.0,21.2,95.0,300.0,95.0,10.0,5.0,510.0,0.0,510.0
2021S051248060739,30.0,460.0,30.0,6.8,90.0,285.0,90.0,10.0,5.0,490.0,5.0,485.0
2021S051248060740,30.0,420.0,50.0,9.1,80.0,295.0,80.0,15.0,5.0,480.0,0.0,480.0
2021S051248060741,20.0,410.0,65.0,4.8,95.0,240.0,95.0,20.0,20.0,410.0,0.0,410.0
2021S051248060742,30.0,520.0,90.0,16.9,60.0,375.0,60.0,25.0,0.0,535.0,5.0,535.0
2021S051248060743,95.0,1010.0,225.0,11.9,75.0,670.0,75.0,25.0,10.0,1050.0,5.0,1050.0
2021S051248060744,60.0,985.0,115.0,12.4,45.0,645.0,45.0,25.0,0.0,980.0,0.0,980.0
2021S051248060745,95.0,905.0,135.0,8.3,60.0,605.0,60.0,35.0,5.0,945.0,0.0,940.0
2021S051248060746,85.0,1180.0,130.0,4.3,90.0,700.0,90.0,30.0,10.0,1125.0,0.0,1125.0
2021S051248060747,65.0,915.0,90.0,4.9,75.0,565.0,75.0,20.0,5.0,895.0,0.0,900.0
2021S051248060748,45.0,620.0,100.0,7.5,45.0,380.0,40.0,30.0,0.0,595.0,0.0,600.0
2021S051248060749,65.0,745.0,80.0,6.1,65.0,590.0,65.0,35.0,10.0,800.0,5.0,795.0
2021S051248060750,60.0,935.0,225.0,8.2,85.0,730.0,85.0,45.0,5.0,955.0,5.0,960.0
2021S051248060751,55.0,1030.0,245.0,9.8,80.0,755.0,80.0,65.0,5.0,985.0,10.0,985.0
2021S051248060752,50.0,650.0,105.0,10.5,50.0,475.0,50.0,40.0,10.0,665.0,0.0,665.0
2021S051248060753,40.0,760.0,125.0,17.6,65.0,505.0,65.0,30.0,5.0,725.0,0.0,725.0
2021S051248060754,25.0,600.0,100.0,12.8,65.0,400.0,65.0,35.0,5.0,530.0,0.0,530.0
2021S051248060755,15.0,625.0,175.0,13.0,50.0,550.0,45.0,80.0,15.0,650.0,5.0,680.0
2021S051248060758,30.0,650.0,75.0,5.3,110.0,445.0,105.0,25.0,5.0,690.0,0.0,695.0
2021S051248060759,45.0,705.0,115.0,11.6,40.0,475.0,40.0,25.0,0.0,635.0,5.0,635.0
2021S051248060760,45.0,520.0,80.0,7.4,60.0,420.0,60.0,25.0,5.0,605.0,5.0,610.0
2021S051248060761,60.0,630.0,160.0,12.5,65.0,425.0,65.0,35.0,15.0,620.0,20.0,625.0
2021S051248060763,40.0,1200.0,345.0,12.9,260.0,840.0,260.0,160.0,90.0,1290.0,20.0,1295.0
2021S051248060764,125.0,1760.0,400.0,9.3,335.0,1130.0,110.0,70.0,10.0,1700.0,10.0,1995.0
2021S051248060769,10.0,465.0,25.0,15.6,250.0,185.0,250.0,10.0,15.0,500.0,5.0,505.0
2021S051248060770,20.0,480.0,115.0,22.2,165.0,225.0,165.0,15.0,15.0,480.0,10.0,480.0
2021S051248060771,20.0,520.0,90.0,5.7,120.0,280.0,120.0,10.0,0.0,510.0,10.0,505.0
2021S051248060774,40.0,800.0,245.0,12.6,115.0,475.0,115.0,75.0,10.0,770.0,5.0,775.0
2021S051248060775,25.0,355.0,30.0,13.9,75.0,235.0,75.0,15.0,10.0,400.0,0.0,395.0
2021S051248060776,10.0,405.0,40.0,13.3,110.0,220.0,110.0,15.0,5.0,425.0,5.0,420.0
2021S051248060777,20.0,380.0,25.0,11.6,90.0,210.0,90.0,10.0,0.0,355.0,0.0,360.0
2021S051248060778,15.0,440.0,25.0,6.4,125.0,235.0,125.0,10.0,0.0,410.0,0.0,415.0
2021S051248060779,15.0,215.0,25.0,17.9,65.0,170.0,65.0,10.0,5.0,275.0,0.0,280.0
2021S051248060780,25.0,630.0,90.0,13.3,165.0,365.0,165.0,30.0,10.0,620.0,5.0,625.0
2021S051248060781,35.0,550.0,120.0,14.0,160.0,270.0,160.0,30.0,15.0,520.0,5.0,520.0
2021S051248060783,20.0,395.0,45.0,17.4,40.0,260.0,40.0,35.0,0.0,380.0,0.0,385.0
2021S051248060784,25.0,360.0,40.0,9.1,50.0,215.0,50.0,15.0,5.0,355.0,5.0,350.0
2021S051248060785,15.0,325.0,40.0,17.6,80.0,210.0,80.0,10.0,0.0,360.0,5.0,365.0
2021S051248060786,10.0,285.0,25.0,17.1,60.0,170.0,60.0,15.0,10.0,285.0,0.0,285.0
2021S051248060787,35.0,625.0,110.0,11.8,105.0,420.0,110.0,25.0,10.0,660.0,5.0,665.0
2021S051248060789,15.0,250.0,100.0,16.7,15.0,170.0,15.0,15.0,0.0,255.0,5.0,255.0
2021S051248060790,30.0,585.0,120.0,25.0,105.0,355.0,105.0,15.0,5.0,560.0,10.0,560.0
2021S051248060791,15.0,320.0,50.0,9.1,45.0,245.0,45.0,10.0,0.0,350.0,0.0,355.0
2021S051248060792,20.0,460.0,170.0,8.8,55.0,310.0,55.0,20.0,5.0,455.0,10.0,460.0
2021S051248060793,30.0,495.0,105.0,14.3,135.0,285.0,135.0,5.0,5.0,545.0,0.0,545.0
2021S051248060794,5.0,250.0,20.0,0.0,85.0,135.0,85.0,5.0,10.0,250.0,0.0,255.0
2021S051248060795,20.0,420.0,75.0,9.1,70.0,260.0,70.0,5.0,10.0,410.0,5.0,415.0
2021S051248060796,20.0,365.0,65.0,9.4,80.0,210.0,80.0,15.0,5.0,370.0,0.0,370.0
2021S051248060797,45.0,775.0,135.0,9.8,75.0,450.0,75.0,35.0,10.0,750.0,10.0,755.0
2021S051248060798,40.0,565.0,105.0,11.0,85.0,390.0,85.0,25.0,5.0,595.0,5.0,595.0
2021S051248060799,15.0,405.0,90.0,22.5,65.0,270.0,70.0,20.0,0.0,415.0,5.0,415.0
2021S051248060800,40.0,655.0,105.0,16.2,130.0,400.0,130.0,30.0,5.0,655.0,10.0,655.0
2021S051248060801,15.0,225.0,30.0,10.3,50.0,,,,,240.0,5.0,235.0
2021S051248060802,30.0,440.0,90.0,20.4,70.0,295.0,70.0,20.0,10.0,455.0,0.0,450.0
2021S051248060803,20.0,335.0,45.0,20.0,90.0,190.0,90.0,10.0,0.0,335.0,0.0,340.0
2021S051248060804,20.0,505.0,130.0,14.5,95.0,305.0,95.0,20.0,0.0,505.0,5.0,500.0
2021S051248060805,25.0,495.0,120.0,17.0,105.0,250.0,105.0,15.0,0.0,435.0,0.0,435.0
2021S051248060806,20.0,485.0,170.0,21.3,145.0,265.0,150.0,15.0,5.0,485.0,10.0,485.0
2021S051248060807,20.0,750.0,165.0,11.5,195.0,375.0,195.0,20.0,5.0,675.0,5.0,675.0
2021S051248060808,10.0,215.0,0.0,15.0,65.0,150.0,65.0,5.0,5.0,255.0,0.0,260.0
2021S051248060810,20.0,770.0,125.0,9.4,220.0,390.0,215.0,20.0,10.0,740.0,5.0,735.0
2021S051248060811,30.0,310.0,20.0,9.7,85.0,210.0,85.0,5.0,5.0,385.0,0.0,380.0
2021S051248060812,10.0,285.0,25.0,0.0,85.0,165.0,85.0,0.0,0.0,305.0,0.0,305.0
2021S051248060813,10.0,340.0,75.0,8.8,85.0,185.0,85.0,10.0,5.0,325.0,0.0,325.0
2021S051248060814,15.0,355.0,60.0,0.0,115.0,185.0,115.0,10.0,15.0,365.0,0.0,365.0
2021S051248060815,25.0,460.0,20.0,17.8,120.0,225.0,125.0,15.0,0.0,455.0,5.0,450.0
2021S051248060816,15.0,440.0,40.0,10.2,90.0,285.0,90.0,30.0,5.0,440.0,0.0,440.0
2021S051248060817,10.0,330.0,45.0,11.8,95.0,165.0,95.0,10.0,0.0,315.0,0.0,310.0
2021S051248060818,15.0,380.0,40.0,9.4,110.0,175.0,110.0,10.0,5.0,350.0,0.0,350.0
2021S051248060820,25.0,390.0,65.0,11.1,100.0,190.0,100.0,5.0,0.0,375.0,5.0,375.0
2021S051248060821,20.0,390.0,110.0,12.8,75.0,220.0,75.0,5.0,5.0,360.0,0.0,360.0
2021S051248060830,20.0,370.0,30.0,9.3,45.0,240.0,45.0,20.0,5.0,340.0,0.0,340.0
2021S051248060831,30.0,400.0,100.0,6.4,50.0,290.0,45.0,40.0,5.0,415.0,25.0,415.0
2021S051248060832,25.0,345.0,50.0,5.6,65.0,250.0,65.0,20.0,10.0,385.0,5.0,385.0
2021S051248060833,25.0,470.0,65.0,8.3,75.0,250.0,75.0,15.0,5.0,395.0,5.0,400.0
2021S051248060834,20.0,550.0,155.0,5.4,195.0,240.0,190.0,5.0,60.0,530.0,40.0,525.0
2021S051248060836,5.0,225.0,15.0,27.8,345.0,,,,,320.0,5.0,495.0
2021S051248060837,40.0,600.0,360.0,14.3,45.0,390.0,45.0,55.0,0.0,530.0,15.0,535.0
2021S051248060838,25.0,500.0,100.0,16.2,50.0,380.0,50.0,55.0,10.0,515.0,5.0,510.0
2021S051248060842,15.0,635.0,175.0,6.7,65.0,355.0,65.0,30.0,0.0,555.0,5.0,550.0
2021S051248060843,30.0,455.0,275.0,16.4,25.0,340.0,25.0,60.0,0.0,465.0,10.0,460.0
2021S051248060844,30.0,610.0,305.0,20.8,40.0,470.0,35.0,85.0,10.0,565.0,10.0,565.0
2021S051248060845,50.0,710.0,195.0,9.6,80.0,500.0,80.0,30.0,5.0,745.0,5.0,745.0
2021S051248060846,40.0,770.0,145.0,9.1,70.0,555.0,70.0,45.0,0.0,775.0,0.0,770.0
2021S051248060847,50.0,760.0,155.0,6.7,75.0,470.0,75.0,25.0,20.0,695.0,15.0,690.0
2021S051248060848,45.0,640.0,145.0,8.6,120.0,425.0,120.0,50.0,30.0,665.0,5.0,675.0
2021S051248060849,40.0,685.0,135.0,9.9,75.0,480.0,75.0,25.0,5.0,700.0,0.0,705.0
2021S051248060850,50.0,700.0,105.0,7.8,60.0,500.0,60.0,30.0,15.0,725.0,5.0,720.0
2021S051248060851,40.0,740.0,230.0,3.6,155.0,455.0,155.0,60.0,35.0,715.0,5.0,715.0
2021S051248060852,20.0,1005.0,165.0,10.1,355.0,675.0,355.0,60.0,70.0,1070.0,20.0,1070.0
2021S051248060853,80.0,900.0,370.0,17.8,305.0,685.0,100.0,150.0,10.0,955.0,15.0,1175.0
2021S051248060855,15.0,500.0,140.0,15.6,115.0,380.0,115.0,55.0,10.0,530.0,0.0,530.0
2021S051248060856,20.0,630.0,105.0,12.1,55.0,465.0,55.0,40.0,10.0,590.0,0.0,585.0
2021S051248060857,20.0,485.0,180.0,11.3,50.0,410.0,50.0,60.0,15.0,495.0,5.0,495.0
2021S051248060858,25.0,605.0,145.0,9.9,40.0,505.0,40.0,65.0,5.0,600.0,5.0,605.0
2021S051248060859,15.0,570.0,145.0,20.9,45.0,465.0,45.0,70.0,15.0,555.0,5.0,560.0
2021S051248060860,25.0,790.0,290.0,12.6,75.0,645.0,75.0,85.0,25.0,795.0,15.0,790.0
2021S051248060861,30.0,905.0,180.0,14.9,60.0,825.0,55.0,95.0,25.0,960.0,10.0,960.0
2021S051248060862,25.0,415.0,80.0,10.0,35.0,335.0,30.0,20.0,5.0,460.0,0.0,465.0
2021S051248060863,45.0,620.0,145.0,8.0,40.0,400.0,40.0,20.0,5.0,545.0,5.0,540.0
2021S051248060864,35.0,595.0,180.0,13.1,60.0,425.0,60.0,40.0,10.0,590.0,5.0,590.0
2021S051248060865,30.0,980.0,520.0,13.4,115.0,765.0,115.0,110.0,25.0,975.0,35.0,975.0
2021S051248060866,25.0,425.0,195.0,5.4,205.0,305.0,70.0,20.0,5.0,420.0,15.0,560.0
2021S051248060867,30.0,555.0,140.0,11.5,70.0,370.0,70.0,20.0,5.0,530.0,0.0,525.0
2021S051248060868,25.0,640.0,230.0,11.7,100.0,425.0,100.0,25.0,10.0,620.0,15.0,615.0
2021S051248060869,10.0,360.0,105.0,13.0,60.0,345.0,60.0,45.0,15.0,445.0,20.0,445.0
2021S051248060870,40.0,540.0,190.0,17.7,160.0,450.0,150.0,50.0,65.0,700.0,45.0,700.0
2021S051248060871,30.0,715.0,290.0,13.1,85.0,545.0,85.0,70.0,10.0,710.0,20.0,710.0
2021S051248060872,30.0,645.0,220.0,13.5,70.0,410.0,70.0,40.0,10.0,585.0,15.0,585.0
2021S051248060873,60.0,635.0,215.0,10.2,75.0,575.0,75.0,65.0,15.0,765.0,15.0,760.0
2021S051248060874,50.0,765.0,155.0,10.4,75.0,515.0,75.0,60.0,15.0,720.0,20.0,720.0
2021S051248060875,70.0,985.0,195.0,15.9,115.0,645.0,110.0,30.0,10.0,1000.0,15.0,1005.0
2021S051248060876,60.0,785.0,255.0,11.8,65.0,525.0,65.0,40.0,0.0,750.0,5.0,750.0
2021S051248060877,30.0,650.0,170.0,14.1,75.0,415.0,75.0,30.0,15.0,605.0,10.0,605.0
2021S051248060878,35.0,705.0,165.0,16.9,65.0,430.0,65.0,35.0,0.0,620.0,0.0,620.0
2021S051248060879,25.0,455.0,150.0,16.0,95.0,295.0,95.0,30.0,45.0,475.0,35.0,470.0
2021S051248060880,30.0,360.0,90.0,11.8,25.0,325.0,25.0,55.0,0.0,415.0,0.0,415.0
2021S051248060881,45.0,610.0,310.0,10.0,40.0,380.0,45.0,65.0,10.0,640.0,15.0,640.0
2021S051248060882,15.0,510.0,150.0,20.7,75.0,370.0,75.0,80.0,15.0,500.0,10.0,505.0
2021S051248060884,5.0,190.0,50.0,30.0,25.0,,,,,155.0,0.0,150.0
2021S051248060885,20.0,510.0,90.0,13.6,295.0,265.0,175.0,35.0,85.0,495.0,5.0,745.0
2021S051248060886,45.0,660.0,180.0,11.2,70.0,445.0,75.0,40.0,10.0,655.0,5.0,655.0
2021S051248060887,30.0,590.0,90.0,8.5,60.0,370.0,60.0,20.0,5.0,545.0,0.0,540.0
2021S051248060888,30.0,545.0,90.0,8.8,25.0,440.0,25.0,25.0,5.0,560.0,0.0,555.0
2021S051248060889,25.0,480.0,90.0,12.7,65.0,295.0,65.0,35.0,15.0,460.0,5.0,460.0
2021S051248060890,50.0,595.0,175.0,12.1,60.0,430.0,65.0,60.0,10.0,635.0,10.0,645.0
2021S051248060891,25.0,515.0,160.0,11.1,70.0,375.0,70.0,30.0,5.0,530.0,5.0,530.0
2021S051248060892,30.0,510.0,65.0,15.9,60.0,345.0,60.0,25.0,5.0,515.0,0.0,515.0
2021S051248060893,25.0,535.0,185.0,5.0,215.0,400.0,30.0,20.0,5.0,500.0,10.0,685.0
2021S051248060894,55.0,1195.0,335.0,7.8,95.0,870.0,95.0,65.0,10.0,1100.0,10.0,1100.0
2021S051248060895,30.0,510.0,85.0,10.0,45.0,325.0,45.0,30.0,5.0,455.0,0.0,450.0
2021S051248060896,35.0,565.0,190.0,4.4,70.0,390.0,70.0,35.0,15.0,555.0,5.0,550.0
2021S051248060897,40.0,685.0,100.0,7.9,75.0,535.0,75.0,35.0,5.0,735.0,10.0,735.0
2021S051248060898,30.0,650.0,175.0,9.8,55.0,495.0,55.0,55.0,10.0,635.0,10.0,645.0
2021S051248060899,60.0,485.0,215.0,7.3,40.0,380.0,40.0,115.0,20.0,550.0,25.0,550.0
2021S051248060900,35.0,1115.0,360.0,12.9,780.0,705.0,375.0,85.0,160.0,1500.0,20.0,1565.0
2021S051248060901,75.0,1805.0,335.0,9.8,175.0,1415.0,175.0,115.0,10.0,1765.0,20.0,1765.0
2021S051248060902,35.0,545.0,55.0,9.0,115.0,390.0,90.0,40.0,20.0,590.0,0.0,595.0
2021S051248060903,30.0,470.0,25.0,10.1,55.0,440.0,55.0,40.0,15.0,565.0,0.0,605.0
2021S051248060904,45.0,950.0,160.0,10.5,130.0,665.0,105.0,100.0,30.0,930.0,10.0,1045.0
2021S051248060905,25.0,365.0,0.0,4.0,35.0,280.0,35.0,25.0,5.0,375.0,0.0,370.0
2021S051248060906,10.0,510.0,100.0,13.0,130.0,350.0,85.0,75.0,20.0,525.0,10.0,525.0
2021S051248060907,10.0,215.0,45.0,18.5,50.0,,,,,215.0,0.0,225.0
2021S051248060908,10.0,320.0,60.0,15.4,75.0,215.0,75.0,30.0,10.0,335.0,5.0,330.0
2021S051248060909,25.0,670.0,190.0,20.5,335.0,315.0,335.0,85.0,135.0,725.0,10.0,725.0
2021S051248060910,10.0,415.0,130.0,18.8,90.0,330.0,90.0,45.0,10.0,470.0,5.0,475.0
2021S051248060911,10.0,365.0,120.0,18.2,85.0,280.0,85.0,45.0,15.0,435.0,20.0,435.0
