Community name,% of people aged >65 and < 5 years old,% Visible minority population,% Aboriginal identity,% one parent families,% Living alone,% Women,% Newcomers to community (Mobility Status - movers from 2015-2016),% Recent immigrant (2011-2016) and non permanent residents,% Language (neither FR or EN),"% Low education (No certificate, diploma or degree)","% Low income (Based on the Low-income measure, after-tax (LIM-AT)) aged 18+",% Low income and aged 65+,% Unemployed,Public transit access,% Area of tree canopy (2020),% paved area,High income households,Resident count
ST. ANDREWS HEIGHTS,0.364345404,0.175487465,0.022284123,0.016713092,0.091364903,0.519777159,0.119777159,0.055710306,0.011142061,0.036211699,0.033426184,0.005571031,0.04178273,20,0.069257991,0.477958476,185,1795
STARFIELD,,,,,,,,,,,,,,7,0.004551711,0.265043301,,0
STONEGATE LANDING,,,,,,,,,,,,,,3,0.001267718,0.052792983,,0
STONEY 1,,,,,,,,,,,,,,11,0.005280182,0.156953452,,0
STONEY 2,,,,,,,,,,,,,,18,0.001860935,0.420157098,,0
STONEY 3,,,,,,,,,,,,,,5,0.003110009,0.073485871,,0
STONEY 4,,,,,,,,,,,,,,0,0.001750197,0.135121024,,0
STRATHCONA PARK,0.204376368,0.263311451,0.024070022,0.041575492,0.042742524,0.509263311,0.075127644,0.032093363,0.008023341,0.075127644,0.052516411,0.007293946,0.054704595,30,0.069455084,0.416097153,845,6855
SUNALTA,0.05866008,0.301018833,0.04631059,0.020067922,0.325409077,0.472985489,0.348873109,0.142019142,0.018524236,0.052485335,0.137388083,0.009262118,0.07564063,16,0.044230534,0.634555043,90,3239
SUNDANCE,0.175328677,0.159202958,0.02721857,0.034408381,0.040981923,0.501746097,0.079601479,0.04211175,0.008216927,0.103738702,0.035949055,0.005649137,0.068816763,57,0.039613176,0.480497694,830,9736
SUNNYSIDE,0.108274232,0.140661939,0.022458629,0.022458629,0.3,0.505910165,0.238770686,0.074468085,0.002364066,0.026004728,0.086288416,0.008274232,0.060283688,18,0.087988556,0.393889725,290,4230
SUNRIDGE,0,,,,0,0,,,,,,,,38,0.010697752,0.817137572,,11
SYMONS VALLEY RANCH,,,,,,,,,,,,,,0,0.007181466,0.041105354,,#N/A
TARADALE,0.131294019,0.896667718,0.010774729,0.033900978,0.017975402,0.477662147,0.151371807,0.201829076,0.078313886,0.161095343,0.070955535,0.003679176,0.057815621,48,0.010531339,0.471960827,60,19026
TEMPLE,0.175913273,0.571194315,0.046005284,0.056481735,0.040903708,0.488020406,0.122984422,0.129361392,0.034617837,0.192675594,0.07652364,0.007743464,0.058759224,32,0.039897647,0.527975918,130,10977
THORNCLIFFE,0.209262631,0.323167956,0.044947656,0.061447428,0.10389167,0.492262176,0.165566682,0.10013655,0.046654529,0.147360036,0.084774693,0.011948111,0.060878471,51,0.060814375,0.434044017,145,8788
TUSCANY,0.137748944,0.260259505,0.018607926,0.027157514,0.04400523,0.505984711,0.095554214,0.057332529,0.009052505,0.062864615,0.021876886,0.002263126,0.045011064,70,0.035448347,0.352601239,1705,19884
TUXEDO PARK,0.171986481,0.300413068,0.030980098,0.032857679,0.165790462,0.49586932,0.186819377,0.087307548,0.037551633,0.127675554,0.10045062,0.031918888,0.059143823,26,0.063970607,0.553495222,285,5326
TWINHILLS,,,,,,,,,,,,,,0,0.001338977,0.023784309,,#N/A
